T,T_requested,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8
0.0001,0.0001,,0.0000000000e+00,8.8290592315e-08,0.0000000000e+00,5.9618651049e-08,0.0000000000e+00,7.1139572252e-08,0.0000000000e+00,7.1189256553e-08
0.0001585,0.0001585,,1.6053937778e-10,,1.2872006814e-10,,1.3497911870e-10,,1.6530285172e-10,
0.0002512,0.0002512,,3.3904547644e-10,,3.3620189229e-10,,3.5543394517e-10,,5.0050033045e-10,
0.0003,0.0003,1.4734103292e-09,2.0329780778e-10,7.3420494381e-07,3.8021359704e-10,7.3418154536e-07,1.8434935265e-10,7.3425974091e-07,3.2838019851e-10,1.4593075136e-07
0.0003981,0.0003981,,9.5799192977e-10,,8.7956937438e-10,2.6560436271e-09,1.2410085608e-09,,1.2608308238e-09,
0.000631,0.000631,,2.8892650850e-09,,3.0530062948e-09,2.5144584865e-08,3.1640990677e-09,,3.4543065763e-09,3.4632282106e-08
0.001,0.001,,6.5339351034e-09,1.3258841073e-07,7.1333786893e-09,6.1539531971e-08,7.4827848147e-09,,8.4038384318e-09,
0.0015849,0.0015849,,1.4570002781e-08,,1.6274158629e-08,2.1342297183e-07,1.8986707898e-08,,2.2355092167e-08,1.7508338311e-07
0.00177827941,0.00177827941,,1.6254689593e-08,,1.9058205693e-08,4.5316616962e-08,2.3344533920e-08,,2.8714582315e-08,1.9072522647e-07
0.0025119,0.0025119,,2.8932355824e-08,6.5731498203e-07,3.5004441372e-08,6.7998805110e-07,4.7151540101e-08,,6.0445614722e-08,4.1567482306e-07
0.003,0.003,,4.0347802855e-08,9.3589242563e-07,4.9482391254e-08,,6.9460679900e-08,,9.1076340929e-08,6.3209908441e-07
0.00316227766,0.00316227766,,4.9713490827e-08,9.3155409961e-07,6.1570645019e-08,9.8045683597e-07,8.2759149223e-08,,1.0881545450e-07,7.2052213400e-07
0.00375,0.00375,,6.4264058136e-08,1.2974146542e-06,8.3992564520e-08,9.1961427985e-07,1.1878404190e-07,1.4048733517e-06,1.6146336017e-07,8.8616199285e-07
0.0039811,0.0039811,2.0949238952e-07,7.6031606394e-08,1.3982825935e-06,1.0037810954e-07,1.6028189192e-06,1.4441965847e-07,,1.9581986069e-07,1.1630187317e-06
0.00422,0.00422,,8.6806710869e-08,1.4947580992e-06,1.1695317905e-07,1.1371503143e-06,1.6755783143e-07,1.7520010481e-06,2.3088690087e-07,1.2083043194e-06
0.0044668,0.0044668,2.5731000805e-07,9.6406392610e-08,1.7127101035e-06,1.2511305356e-07,1.3500210802e-06,1.8672685691e-07,1.9902290182e-06,2.6027588310e-07,1.3862970667e-06
0.00469,0.00469,,9.8241105789e-08,1.8326483331e-06,1.3502043426e-07,1.8421836991e-06,2.0131749727e-07,,2.8660796903e-07,1.5126342909e-06
0.005623413252,0.005623413252,3.7066787372e-07,1.3385502247e-07,2.8705293553e-06,1.9907100817e-07,2.9680032523e-06,3.0511565533e-07,,4.4790838547e-07,2.5924258658e-06
0.0063096,0.0063096,4.4532376808e-07,1.5726827540e-07,3.1831470981e-06,2.5107823336e-07,3.9159803884e-06,3.9914959822e-07,3.9210052236e-06,5.8382767041e-07,3.5855571016e-06
0.0075,0.0075,6.1256288408e-07,2.1994790805e-07,4.3422149245e-06,3.7181444155e-07,5.3123672298e-06,6.1844441051e-07,5.5155634577e-06,9.2840622662e-07,5.0478204479e-06
0.0089125,0.0089125,8.1283856891e-07,2.8906388400e-07,6.3250925867e-06,5.2011222540e-07,7.0472698166e-06,9.2772193065e-07,,1.4513376451e-06,6.6152283712e-06
