T,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m18,m19,m20
0.0001,0.0,0.0,4.904905943201674e-09,0.0,5.016235442091187e-09,0.0,5.0955120116779594e-09,0.0,5.1127161886244126e-09,3.0223928337791396e-15,5.123243263940644e-09,2.642778334958537e-13,5.143687349341197e-09,7.073842103625176e-13,5.274648003368681e-09,1.3902662784621111e-12,5.137958654577429e-09,5.455675499805487e-09,3.7168749675921914e-12,4.7378899296737144e-09
0.0001212887755207717,0.0,0.0,5.209261025998174e-09,0.0,4.985680290253548e-09,0.0,5.602676482052357e-09,3.4571648747816306e-14,5.288770492873385e-09,2.7291162580828453e-13,5.769330424428659e-09,7.382799338049244e-13,5.250968313389041e-09,1.5222354008123509e-12,5.9360795165151406e-09,2.7248939415743108e-12,5.550761139887333e-09,6.0706439911062195e-09,6.7929771130634755e-12,5.295033500825534e-09
0.00014710967067328164,0.0,0.0,6.013288011999717e-09,0.0,5.9594611095771e-09,0.0,6.405219763941916e-09,1.2317800570885896e-13,6.1215687158068044e-09,4.885647252653235e-13,6.845986416316455e-09,1.2073387749111373e-12,6.351243977132354e-09,2.4215568867302966e-12,7.0636592934102096e-09,4.2866945402921255e-12,6.724851792719153e-09,7.292602257194885e-09,1.0604184565983409e-11,6.55741764020993e-09
0.0001784275182322631,0.0,0.0,7.452494902699982e-09,0.0,7.151921633870326e-09,2.0059041949687017e-14,8.285800905016634e-09,2.62278791641221e-13,7.691501106827976e-09,8.65482461809224e-13,8.635375773860853e-09,2.0436791229548617e-12,7.988386986011558e-09,4.034380175630757e-12,8.682241106264173e-09,7.0900464207355205e-12,8.077322852179133e-09,9.113861753122864e-09,1.7448946302084254e-11,7.937807965833e-09
0.00021641255205601383,0.0,0.0,8.664917581871704e-09,0.0,8.615601272043488e-09,8.235699355728275e-14,9.987307666629318e-09,4.944155364366879e-13,9.084180271403547e-09,1.5199999785554161e-12,1.087685920244275e-08,3.5278665974743406e-12,9.810903039826357e-09,6.9175133262750904e-12,1.089360467672081e-08,1.210892664546435e-11,1.0416937325011647e-08,1.1800531406096699e-08,2.95807526120001e-11,1.023825728207878e-08
0.00026248413446199184,0.0,0.0,1.0288755116648196e-08,1.3171489225360628e-14,1.0464595550650414e-08,2.0606188862443381e-13,1.2675127976895264e-08,9.715989521247495e-13,1.1559406686401167e-08,2.8687281291275135e-12,1.3397941253335762e-08,6.5459154777597405e-12,1.2176930033928776e-08,1.2704388357402803e-11,1.4130664411077513e-08,2.210504047885364e-11,1.2350561727756115e-08,1.4281191783444487e-08,5.3521413938542066e-11,1.173794327477957e-08
0.00031836379262524615,0.0,0.0,1.4615388621340368e-08,1.754839355617072e-14,1.4769845582541099e-08,3.4389232760056663e-13,1.7954361499990975e-08,1.6518717250627703e-12,1.666048445513685e-08,4.85229291459995e-12,1.963640980005339e-08,1.1088416528348673e-11,1.720033260862845e-08,2.1629577103826158e-11,1.9673874997408785e-08,3.7805697904981654e-11,1.886241590688104e-08,2.0941845310887072e-08,9.269400119732737e-11,1.80909862013659e-08
0.00038613954577664997,0.0,0.0,1.755855858945855e-08,6.064300477293361e-14,1.974752228429724e-08,8.957527957325368e-13,2.3403896733793327e-08,3.981406827400941e-12,2.0496452552208097e-08,1.1267272294174047e-11,2.5275969780322e-08,2.5126452026985806e-11,2.26426136496331e-08,4.799392304520856e-11,2.525008874697235e-08,8.227621306528712e-11,2.2874550501799894e-08,2.6564646833081927e-08,1.9356272098922446e-10,2.2348394505412257e-08
0.000468343926873969,0.0,0.0,2.1561010043634926e-08,1.766883019277816e-13,2.317044409862664e-08,2.032091054588475e-12,2.752973838381028e-08,8.53807771566767e-12,2.6872316839482044e-08,2.374036497577219e-11,3.199457215020065e-08,5.2352635295844734e-11,2.7719922403712702e-08,9.891738279926838e-11,3.401996645514381e-08,1.678888079972645e-10,2.983673905274338e-08,3.452008462764284e-08,3.859692660205166e-10,2.993429249819016e-08
0.0005680486141313354,0.0,0.0,3.0471419746761935e-08,3.6052226057256775e-13,3.515881377395404e-08,4.6150803155646564e-12,4.336808967985244e-08,1.9111408632293142e-11,4.079427669292751e-08,5.221331978932369e-11,4.7262150659911575e-08,1.1347425811762369e-10,4.3748063526336366e-08,2.121161193535121e-10,4.857805945921944e-08,3.562891973714112e-10,4.4636743017945735e-08,5.07662605853789e-08,8.067717967720938e-10,4.3129036621812485e-08
