T,mu,U,m0,m1,m2,m3,m4,m5,m6,m7,m8
0.0001,10,1,-4.23E-16,6.64E-18,1.13E-11,1.45E-16,1.24E-17,1.71E-17,1.66E-12,-6.14E-16,4.24E-16
0.000285994,10,1,-6.89E-15,7.23E-16,6.44E-11,-6.99E-15,9.74E-12,6.20E-14,8.84E-10,3.55E-13,1.57E-11
0.000817925,10,1,-3.13E-14,8.96E-14,2.54E-08,2.14E-12,2.40E-08,1.92E-11,2.45E-08,7.37E-11,2.54E-08
0.002339214,10,1,3.19E-13,8.23E-12,3.23E-07,2.59E-10,4.15E-07,2.03E-09,4.47E-07,7.08E-09,4.04E-07
0.006690008,10,1,-2.13E-12,6.44E-10,3.74E-06,2.23E-08,4.84E-06,1.54E-07,5.44E-06,4.66E-07,5.74E-06
0.019133011,10,1,7.46E-11,4.23E-08,4.04E-05,1.52E-06,5.10E-05,8.18E-06,5.59E-05,1.87E-05,5.78E-05
0.05471923,10,1,2.47E-10,2.29E-06,0.000384088,7.27E-05,0.000460478,0.000242,0.000479129,0.000361159,0.000491345
0.156493622,10,1,-3.32E-08,3.03E-05,0.00165472,0.000738243,0.001775136,0.001567151,0.001945816,0.001851483,0.002047053
0.447562104,10,1,4.96E-06,0.001043056,0.009874674,0.009465337,0.011194003,0.011232006,0.01168146,0.011731527,0.011842889
1.28,10,1,-1.11E-05,0.006319151,0.041952,0.042494551,0.048708833,0.04887097,0.04982688,0.050005737,0.050467552
