mu,Theta,U,m0,m1,m2,m3,m4,m5,m6,m7
0.01,1,1,0,1.62E-08,0.008114017,0.009551982,0.010587155,0.011331248,0.011656547,0.012126138
0.010974988,1,1,0,1.73E-08,0.008138559,0.009580754,0.010619059,0.011365673,0.011691767,0.012162902
0.012045035,1,1,0,1.75E-08,0.00816382,0.009610103,0.010651913,0.011401175,0.01172875,0.012201355
0.013219411,1,1,0,1.87E-08,0.008193245,0.009644223,0.010689483,0.011442134,0.011770886,0.012245246
0.014508288,1,1,0,1.99E-08,0.008225502,0.009681385,0.010730917,0.011486838,0.011817017,0.012293249
0.015922828,1,1,0,2.02E-08,0.008258954,0.00972001,0.010774171,0.011533754,0.011865965,0.01234413
0.017475284,1,1,0,2.05E-08,0.00829568,0.009762352,0.010821594,0.011585259,0.011919721,0.01240001
0.019179103,1,1,0,2.21E-08,0.008337595,0.009810732,0.010875344,0.011643786,0.011980338,0.012463063
0.021049041,1,1,0,2.38E-08,0.008383897,0.009863668,0.010935129,0.01170792,0.012046886,0.012532249
0.023101297,1,1,0,2.71E-08,0.008435991,0.009923495,0.011002585,0.01178008,0.012121689,0.012609782
0.025353645,1,1,0,3.04E-08,0.008492963,0.009988944,0.011075562,0.011859152,0.01220392,0.012694939
0.027825594,1,1,0,3.41E-08,0.008555295,0.010060619,0.011155359,0.011945853,0.012294195,0.01278847
0.030538555,1,1,0,3.65E-08,0.008622586,0.01013749,0.011241273,0.012039365,0.012391979,0.01288975
0.033516027,1,1,0,3.92E-08,0.00869611,0.01022207,0.011335859,0.012142313,0.012499634,0.013001291
0.036783798,1,1,0,4.05E-08,0.008775507,0.010313422,0.011438222,0.012253979,0.012616647,0.01312257
0.040370173,1,1,0,5.18E-08,0.008870965,0.010422289,0.01155937,0.012384948,0.012753753,0.013263749
0.044306215,1,1,0,5.37E-08,0.00896776,0.010534071,0.011684752,0.012521395,0.012896874,0.013411877
0.048626016,1,1,0,6.13E-08,0.009078018,0.010661217,0.011827053,0.012675546,0.013058684,0.013578843
0.053366992,1,1,0,7.71E-08,0.009202282,0.010805039,0.011987854,0.012848938,0.01324224,0.01376653
0.058570208,1,1,0,8.76E-08,0.009335901,0.01096053,0.012162142,0.013037094,0.013440103,0.013970477
0.064280731,1,1,0,1.13E-07,0.0094891,0.011137594,0.012360165,0.013249938,0.013664858,0.01420119
