mu,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20
0.01,4.647272544823207,6.476966395896487,7.80326773691797,5.564586871230435,9.36154778436512,9.826791095503674,9.950758083286363,5.812853670825922,10.33827888780966,10.206331632681435,10.67244932039256,5.5381184172968965,10.662810952855951,10.136712876624811,10.702861244609368,5.446828040973809,10.544821107112666,10.085460578843085,10.314706773073627,5.351351109143787
0.0105956,4.323983286331904,5.9892028619730135,7.195602943895991,5.238314339208508,8.626670804412962,9.046493574452816,9.174527019453793,5.4533985163872245,9.528530087126196,9.402567762920242,9.812800568473474,5.20621137876738,9.795272601392307,9.337054866237919,9.817816134297294,5.11544126740735,9.703006722673466,9.274963431230837,9.494668601954297,5.033011619221327
0.0112267,4.025076970636878,5.539765143018773,6.639919745190953,4.932811595069674,7.954672292545875,8.337319519616743,8.464533635996974,5.114862220084183,8.787992232439938,8.669235615801517,9.028389486050958,4.89555824652065,9.00419645317788,8.608423421580593,9.01086719459969,4.806138228718415,8.935126910603177,8.537801179757837,8.746952663316131,4.735205062706707
0.0118953,3.74863153595208,5.125624050210662,6.1316203463080505,4.6436386165990235,7.3401716930806105,7.689921810131996,7.813435041149487,4.798820681498807,8.110597189651822,7.998909224433853,8.313124976489858,4.6051737754561515,8.283040124113706,7.942158529920169,8.277097055408621,4.517271862004506,8.234455815681544,7.867602418351848,8.065102899898976,4.456684938927699
0.0126038,3.4928723794697154,4.743951573804894,5.666247701026862,4.375302891549917,6.778379425762534,7.099539138547579,7.218200179796583,4.504173873041782,7.490792541158723,7.390196685317973,7.659417356399223,4.333635561085334,7.625312310158625,7.334786104888803,7.609445055620212,4.2475281536776865,7.593570465856608,7.258221049100958,7.442599688033179,4.1961423896965195
0.0133545,3.2561387500179717,4.3923233695493105,5.2400550440887885,4.123734366461465,6.2643693913347285,6.559301552107357,6.673212550985227,4.230049836624923,6.923411259917684,6.831297291636265,7.0625360067438985,4.079823669320806,7.025223219346195,6.782820163771166,7.001387384615431,3.9957271827934377,7.004747591184244,6.702666416517593,6.873861367167532,3.9523063214298295
0.0141499,3.0368984773279295,4.06844120871446,4.849478495518972,3.8851756710222833,5.793676288877712,6.06767710177184,6.17335527915271,3.9739429590395807,6.403227019868916,6.322929534588029,6.515958371868842,3.842093403302503,6.477078838319711,6.274571538298949,6.447938010590186,3.760479026786595,6.464181624081191,6.196070623499036,6.353754430508963,3.7239667436989836
0.0149927,2.8337411427369013,3.7701955392997277,4.49131551798625,3.664462889668183,5.362706856398066,5.613499013629148,5.717028236823768,3.7356010335622356,5.926276856519536,5.855303909898825,6.015539290127764,3.619302513812313,5.976635454671415,5.811164790306792,5.943293889551919,3.5403067946106654,5.967067875591283,5.733398414805185,5.877558980604051,3.5099932007465546
0.0158857,2.645370014136723,3.4953803823613794,4.162560933304684,3.455135356229941,4.96714883343558,5.19823727744411,5.2965734366794965,3.5129902725831084,5.4884233883172975,5.4288850398896,5.557583526973986,3.4109808095406784,5.519089378145048,5.388322985281053,5.483063650999327,3.3342448169012195,5.510644272378029,5.31050331416857,5.440908807468603,3.309155622989328
0.0168318,2.4705966691157015,3.2421608691739223,3.8605676394192514,3.259038144911346,4.6042645428529125,4.8206428762755085,4.911064688468815,3.3046314884009975,5.08613244347574,5.036351140501938,5.137923557095174,3.214898852511277,5.1004546113833555,4.996530446594185,5.063030518360293,3.1410714917761084,5.092574110656943,4.923189013516693,5.039825566544735,3.1205300905209765
0.0178343,2.308334428691879,3.0088185982896727,3.5829896982296594,3.0733958356347193,4.271170371063136,4.472256520758093,4.557088778451198,3.110051146255704,4.716159548299814,4.676744679618163,4.753009527687139,3.030882066359956,4.7171058460859445,4.640971247685069,4.679243481940473,2.9598551614725848,4.70941233515862,4.568278466123969,4.669968120725311,2.9431706192246585
0.0188965,2.157592126975436,2.7936757400890917,3.3275479791152534,2.8995841397037054,3.9645756565549326,4.1525858510436455,4.230635141143846,2.927431882422801,4.375470884109723,4.346296347364162,4.399908500025865,2.857808038119685,4.365934661538265,4.312484272710563,4.328378137519425,2.7896453852076184,4.358383148861787,4.242499546058032,4.32740863075575,2.7761851732120806
0.020022,2.017507813209666,2.595134043165312,3.0921938872469505,2.735521620532747,3.6825525770576704,3.8587105673206654,3.9305456946136554,2.7562559692242976,4.061081383753071,4.042145068805813,4.0754206897035266,2.6946754117484977,4.043482497103926,4.010751189717796,4.0068475763378295,2.629359957160602,4.0361324278853274,3.942861462075983,4.0093844036275295,2.618617019608053
0.0212145,1.8871680247000837,2.4121756053354684,2.8755399959168506,2.580818025514575,3.4231389502027545,3.5880394485130984,3.6540275091543166,2.5953429762251905,3.7711244601433567,3.7615689988085923,3.7776752087503027,2.5413009499998775,3.7477577118220453,3.732337075746088,3.712773642259986,2.4788500224981123,3.741157842845749,3.6674267473450475,3.7156933698987404,2.470265800905166
0.0224781,1.7658731966101335,2.2433477277222837,2.675746281027386,2.4347770843418317,3.1841478011336712,3.3382462320894826,3.3992091792684715,2.4443573451645406,3.5031784125491643,3.5035195433331228,3.5040729479547412,2.396558396428139,3.4761733476423893,3.473483933088984,3.443154718060213,2.3371832383010513,3.4705389850990116,3.413530604459189,3.4451555230069313,2.3303956833115973
0.0238169,1.652939647913149,2.087471607430074,2.4913799276034085,2.297537157577666,2.963835946796828,3.10943942061732,3.1641746295829205,2.3026555389641765,3.2553651340338883,3.2645626449441196,3.2524117855626664,2.2603652781178583,3.226570069284342,3.239076040881629,3.19576654842114,2.203802153041999,3.221980563363685,3.1793375829289814,3.196251063525426,2.1984286198029808
0.0252354,1.5477529339877099,1.9434408383318347,2.3210097187328467,2.167773897126243,2.760445804155135,2.897447114178678,2.9466808215738856,2.1692758077663115,3.0261114007858603,3.0429448947927664,3.0208234339387987,2.1318746072923442,2.9968235239262024,3.017558694959829,2.9684584919317176,2.0781199873073124,2.9933830101470775,2.9628382939989315,2.9672936984733562,2.0738085116924827
0.0267384,1.4497177022819043,1.8104044933851944,2.163657560255315,2.0454966744114604,2.572756852124316,2.7016885345100397,2.7457330306022323,2.043827473461821,2.8142696305911548,2.835857400838345,2.807700070338337,2.0106675741893145,2.7854415173644465,2.810981864635134,2.759591663955799,1.959836930254469,2.7832423539759352,2.762679298564366,2.7567265027780246,1.9563527838318207
0.028331,1.3583219322485807,1.687368743448758,2.0181162579480074,1.9296928252449541,2.3993337690403163,2.5204373056766842,2.5598685669744015,1.9260377129867816,2.618510804932306,2.6411547110780624,2.6114064908771284,1.8964851520296329,2.5907943915543976,2.6190473125492635,2.5674251824949073,1.8484492817279685,2.5898252172467666,2.5772984934316785,2.562933761998661,1.845578835298449
0.0300184,1.2730832363717084,1.5735450360895933,1.8834194729837765,1.8209408188562994,2.2389853488750404,2.352548597603438,2.387867753794836,1.8151365462646805,2.4376283333163506,2.459473072735389,2.4305189541738565,1.7888315100837322,2.4113914143260793,2.440786878232277,2.390517477196843,1.7435624456763894,2.411582951390587,2.405434054725922,2.3845287448506394,1.7411260570484488
0.0318063,1.1935563028332716,1.4681483113753948,1.7586544697862623,1.718555604834081,2.0905356467767224,2.197426572811581,2.2285326507740573,1.7110594044090504,2.270611306271538,2.2912658411355125,2.2637380095941078,1.687512630753051,2.246037864553311,2.276242062615713,2.227497817564607,1.6448076069060373,2.2472258286993387,2.245927123371431,2.2201323012502563,1.642665876995261
0.0337006,1.1193298817315138,1.3705105223145453,1.6430139367320542,1.6219055397293594,1.9530626825249109,2.053468502479239,2.0808224056124036,1.6130969492215206,2.1163949801164246,2.135740230503529,2.1098752181205898,1.5919450501732202,2.093452594611354,2.1225164771125753,2.0770484237633995,1.55182568908729,2.0955537859525037,2.097761954228358,2.0686069066592334,1.5498616258892306
