T,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m18,m19,m20
0.0001,0.0,0.0,1.2682284618048773e-07,1.7551937197148563e-11,1.4883010613786065e-07,1.452991484193694e-10,1.5590433218984428e-07,5.415095544390335e-10,1.6810525950204002e-07,1.392794076941881e-09,1.6890857208764795e-07,2.8772887826744735e-09,1.778926304144019e-07,5.138634970707441e-09,1.7282572549123914e-07,8.260715742842825e-09,1.8420971155406147e-07,1.8016177561015182e-07,1.7077428438649798e-08,1.8609210924096528e-07
0.0001232846739442066,0.0,0.0,2.063774656421075e-07,4.345545590473103e-11,2.46591095908673e-07,3.559761090177593e-10,2.580673684144054e-07,1.3146540370697172e-09,2.752822864782758e-07,3.339904423625371e-09,2.8083337611211743e-07,6.810093872595177e-09,2.899250724601791e-07,1.1981252172839243e-08,2.894438478268894e-07,1.8944942291249966e-08,3.000313161483466e-07,2.9961526201269697e-07,3.7741517519335444e-08,3.080989848915767e-07
0.0001519911082952933,0.0,0.0,3.4326825222133727e-07,1.0781503968754199e-10,3.898510627665065e-07,8.69770670981273e-10,4.300627863094447e-07,3.167672004129256e-09,4.3423759948134445e-07,7.93801309094643e-09,4.6537663371712744e-07,1.592902186566351e-08,4.6027341957161975e-07,2.7527844807935822e-08,4.833605859743585e-07,4.2673837220335736e-08,4.773695037290516e-07,5.001999436435443e-07,8.142168313397687e-08,4.878111044098873e-07
0.0001873817422860383,0.0,0.0,4.831897050741783e-07,2.3270739977114452e-10,5.874551219771067e-07,1.8581110650139545e-09,6.052780131896784e-07,6.673674752770174e-09,6.503560908591799e-07,1.6461512908733278e-08,6.538475544088668e-07,3.243183248886617e-08,6.897984693215491e-07,5.48969668819611e-08,6.798278757890393e-07,8.321140206036387e-08,7.118211555576532e-07,7.011915574123845e-07,1.5149191655107122e-07,7.28144030326218e-07
0.00023101297000831605,0.0,0.0,8.214803914319426e-07,5.731389490104038e-10,9.450951631211635e-07,4.5194484020516e-09,1.0281217398872271e-06,1.5995296992169704e-08,1.0505078195778478e-06,3.872413839801617e-08,1.1214439384867874e-06,7.465100410587079e-08,1.114068499511991e-06,1.2329762008716853e-07,1.1571250547005055e-06,1.8205982097206127e-07,1.1663169210842442e-06,1.2066549088475172e-06,3.1443618984991555e-07,1.1875440413297212e-06
0.0002848035868435802,0.0,0.0,1.2329150785103896e-06,1.293340622577104e-09,1.4413793212799013e-06,1.0028343249867436e-08,1.5458531704561616e-06,3.481424216378164e-08,1.6166634850976628e-06,8.233726489732022e-08,1.6604578715993997e-06,1.5437785998003583e-07,1.7008771554322245e-06,2.472825352375095e-07,1.7367148193996525e-06,3.5368249047542917e-07,1.7747293411911403e-06,1.7910124772425124e-06,5.747793891850354e-07,1.823013933959594e-06
0.0003511191734215131,0.0,0.0,1.823266029308015e-06,2.7849064323423564e-09,2.095799119915626e-06,2.1229895357725147e-08,2.2866188750245206e-06,7.216403474071725e-08,2.3533105469754566e-06,1.6629907010899952e-07,2.4631930146982e-06,3.027065395282608e-07,2.4859600849659115e-06,4.698343390289145e-07,2.5829149975232363e-06,6.513203164683787e-07,2.5805932514134885e-06,2.66615831761474e-06,1.0010746646821783e-06,2.663308716957443e-06
0.0004328761281083057,0.0,0.0,2.8330424783443968e-06,6.440641274127921e-09,3.287756656299914e-06,4.80529785475128e-08,3.5435383144875567e-06,1.5894369714855344e-07,3.6861616839791824e-06,3.5440979999783136e-07,3.831735944404569e-06,6.21824510938853e-07,3.895378087781917e-06,9.296032308928132e-07,3.995279830343591e-06,1.2436563905577564e-06,4.032535082489077e-06,4.120196836695934e-06,1.8009742964902918e-06,4.121952161643632e-06
0.0005336699231206312,0.0,0.0,4.258897382381332e-06,1.423355791352753e-08,5.003346266090522e-06,1.0370744958952342e-07,5.339643051998645e-06,3.3254008811042947e-07,5.576401243742059e-06,7.139687490158552e-07,5.763695235448346e-06,1.2025379368771997e-06,5.904949521137357e-06,1.727624793123155e-06,6.020424478527844e-06,2.229917533345586e-06,6.125855712123437e-06,6.1960990445814985e-06,3.0531256235180664e-06,6.24672050735158e-06
0.0006579332246575682,0.0,0.0,6.393018473735029e-06,3.15843653584604e-08,7.524515228003753e-06,2.2378281380221188e-07,8.035619371311658e-06,6.909170648012507e-07,8.44352710464305e-06,1.4182798159742804e-06,8.704831995820109e-06,2.28104565423342e-06,8.971079681592819e-06,3.141074424189942e-06,9.1023635218742e-06,3.9105804344472404e-06,9.274316171620252e-06,9.377428207430992e-06,5.07891280673023e-06,9.454844159284827e-06
0.0008111308307896872,0.0,0.0,9.306290801736863e-06,6.78294854118079e-08,1.0916125028620275e-05,4.644297113621154e-07,1.1726826246230416e-05,1.3698203565355695e-06,1.22520124278805e-05,2.670189145368212e-06,1.2631313130663119e-05,4.085831319184575e-06,1.300241879623295e-05,5.3905075607877845e-06,1.3241033242915196e-05,6.484067766652699e-06,1.3448859178866132e-05,1.3528059300759756e-05,8.034529088290632e-06,1.3678637272391794e-05
0.001,0.0,0.0,1.4072339117663413e-05,1.5045872925644347e-07,1.6370884075946975e-05,9.875735603022515e-07,1.7587707493138327e-05,2.7556845646109836e-06,1.840250895611189e-05,5.063835315591546e-06,1.9016006331145703e-05,7.351012469381458e-06,1.9506905153019285e-05,9.29753474775575e-06,1.9863075802604925e-05,1.0831002215268516e-05,2.0111738331711675e-05,2.0248778884013703e-05,1.2883446459822778e-05,2.0315348112882858e-05
0.0012,0.0,0.0,1.899055189868777e-05,2.8226646726403107e-07,2.2087039713654407e-05,1.776211734333868e-06,2.377908485272203e-05,4.694286702172303e-06,2.485589612271744e-05,8.172592336168395e-06,2.5625573107747965e-05,1.1344749454702017e-05,2.6287637681648473e-05,1.3874332078262115e-05,2.6718170684129154e-05,1.577591140629374e-05,2.6974558905012745e-05,2.70994084368975e-05,1.8238211394155484e-05,2.7211559078943013e-05
0.0016,0.0,0.0,3.0199551918261727e-05,7.191569523486193e-07,3.5047272469818814e-05,4.190221407539743e-06,3.772235877742501e-05,1.009436350060661e-05,3.937350928803316e-05,1.6170630289512e-05,4.067645967887453e-05,2.108159928519704e-05,4.141851793912461e-05,2.4674722190155674e-05,4.202831355187013e-05,2.723156927446909e-05,4.2192627903964126e-05,4.2366262690781034e-05,3.0509429750914703e-05,4.230538406984612e-05
0.002,0.0,0.0,3.422993096716092e-05,9.831801326034643e-07,3.986975895147493e-05,5.5278067095765435e-06,4.284191836316125e-05,1.2797172720226032e-05,4.4746082945504165e-05,1.984473829601267e-05,4.6216635224517944e-05,2.529014122784234e-05,4.703590207199817e-05,2.9157015367943228e-05,4.7608634972811075e-05,3.1865531829235e-05,4.767174422858674e-05,4.7788745955276455e-05,3.5381041675288124e-05,4.768785396052898e-05
0.0025,0.0,1.5492492423815808e-20,3.9298002204719245e-05,1.3485678002223326e-06,4.594922191292994e-05,7.305589484354924e-06,4.9450001741120515e-05,1.6262748081228106e-05,5.176827094481956e-05,2.44670203223829e-05,5.324180568563503e-05,3.055341002944333e-05,5.42330251294119e-05,3.476636510493183e-05,5.467722415710185e-05,3.768829395287532e-05,5.481830805875904e-05,5.482621501679671e-05,4.156496828873326e-05,5.4898536157283855e-05
0.0035,0.0,0.0,4.854827961056114e-05,2.1446823075110936e-06,5.6873798996386105e-05,1.0956115880693394e-05,6.137873407975227e-05,2.302310343911295e-05,6.426407833397668e-05,3.321284488595504e-05,6.605763302492143e-05,4.036262288174239e-05,6.697956853030423e-05,4.5152512985635426e-05,6.730579215661018e-05,4.846132092027761e-05,6.73158836535115e-05,6.750787871727218e-05,5.304320539805498e-05,6.782017680552763e-05
0.005,0.0,1.5826990185825954e-19,6.221878301595033e-05,3.566602458215719e-06,7.340012340679513e-05,1.7043147926583508e-05,7.922943302610252e-05,3.369737319745357e-05,8.27882765282844e-05,4.662232325881632e-05,8.462390426531728e-05,5.520220030074121e-05,8.558653476419852e-05,6.079470223415776e-05,8.57816702377936e-05,6.470790582934301e-05,8.599191041632215e-05,8.643079164673459e-05,7.038679887776166e-05,8.709517800099032e-05
0.007,0.0,0.0,8.745352065581496e-05,6.821946614737937e-06,0.0001031806301863486,2.97755866152203e-05,0.00011154633798220527,5.454811940635135e-05,0.00011589826894315871,7.189134027153632e-05,0.0001182470481984428,8.271884256874339e-05,0.0001187761704407384,8.967076369183427e-05,0.00011919532760991734,9.473102462307491e-05,0.00011989580052336003,0.00012096239082789018,0.0001023198323837346,0.00012193175889546675
0.01,0.0,2.1420912399125323e-19,0.00016253841085885382,2.1950501404749244e-05,0.00019146017472337912,7.83518253036139e-05,0.0002055100329069626,0.0001242221409724985,0.00021174978564427672,0.00015114612880918435,0.00021381378571070042,0.00016680402415449776,0.0002147582773195726,0.00017727278492600252,0.00021640570846555697,0.00018533912695089486,0.00021852464611512088,0.00022025083252466746,0.0001969358207915768,0.00022109814356015143
0.014,0.0,2.9614908695888175e-18,0.00028874198993439386,6.286005342039657e-05,0.0003378242894823321,0.00018010592865752546,0.00035837308402128444,0.0002525958905902337,0.0003655476235534413,0.00029002388077264474,0.0003675766340322771,0.00031168445804693757,0.0003704737270938341,0.00032677877468461665,0.0003741216544174638,0.00033797580609293233,0.000376136545032037,0.00037662507559667145,0.0003522418688123769,0.0003762194089179574
0.02,0.0,2.007133226262513e-18,0.0005135820474069021,0.0001718207662656894,0.0005934881847421519,0.0003893033171197333,0.0006199091832246381,0.0004930147645921798,0.0006260249977034174,0.0005418631888919819,0.0006308175560233055,0.0005704244593834603,0.0006357438054005584,0.00058909356698841,0.0006369951084232381,0.0006011006959462182,0.0006351443487262082,0.0006321994367211343,0.0006120546919215414,0.0006288286086996984
0.028,0.0,6.866916307626174e-18,0.0008812461442209031,0.000418529388236428,0.0010003928295244221,0.0007615336041576257,0.0010261395093328135,0.0008918560239042928,0.0010323904354024166,0.000948868756731732,0.0010382217541080264,0.0009792796017811137,0.0010363659369558539,0.0009953356289517912,0.0010297446618437443,0.0010025959964519756,0.001023006702255467,0.0010174152284020872,0.001006449537910996,0.0010131564237269098
0.04,0.0,0.0,0.0015306274503473795,0.0009597020907136831,0.001688409771060225,0.0014359597319872517,0.0017018608618910133,0.0015781792708879686,0.0017066418077443701,0.0016316971596176742,0.0016988822275340037,0.0016539312978538503,0.0016862630111852824,0.0016623682028518887,0.001678680600679115,0.0016663738740232384,0.0016750997823212848,0.0016736856166138508,0.001669744002572633,0.0016734123485457042
